# ----------------------------------------,,,
# Bhinneka.Com without Bots,,,
# Add to Cart Product Samsung,,,
# 20160101-20160406,,,
# ----------------------------------------,,,
,,,
Date,Transaction ID,Page,Average Price
20160403,16591821,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=16591821,"IDR240,769,653"
20160404,93738888,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=93738888,"IDR192,477,660"
20160311,38691011,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=38691011,"IDR68,470,442"
20160112,78246899,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=78246899,"IDR66,454,567"
20160213,44455419,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=44455419,"IDR39,882,253"
20160329,35491253,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=35491253,"IDR37,912,759"
20160126,62562176,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=62562176,"IDR37,123,976"
20160218,43542425,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=43542425,"IDR32,436,532"
20160110,78124709,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=78124709,"IDR29,528,623"
20160222,15415231,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=15415231,"IDR20,679,687"
20160218,83640990,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=83640990,"IDR20,581,212"
20160320,22408986,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=22408986,"IDR20,433,500"
20160321,22408986,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=22408986,"IDR20,433,500"
20160107,95634461,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=95634461,"IDR19,693,955"
20160222,136577,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=00136577,"IDR18,877,600"
20160101,7802817,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=07802817,"IDR18,709,208"
20160113,69957207,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=69957207,"IDR18,709,208"
20160124,7802817,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=07802817,"IDR18,709,208"
20160211,68432797,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=68432797,"IDR18,709,208"
20160322,56559639,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=56559639,"IDR18,610,733"
20160325,1746684,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=01746684,"IDR17,942,090"
20160325,14510881,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=14510881,"IDR17,942,090"
20160325,36823081,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=36823081,"IDR17,942,090"
20160325,37712716,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=37712716,"IDR17,942,090"
20160325,40890925,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=40890925,"IDR17,942,090"
20160325,81693251,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=81693251,"IDR17,942,090"
20160325,85222493,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=85222493,"IDR17,942,090"
20160325,99214438,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=99214438,"IDR17,942,090"
20160223,52627304,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=52627304,"IDR17,725,446"
20160210,38995263,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=38995263,"IDR17,724,461"
20160216,86424503,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=86424503,"IDR17,724,461"
20160312,16311333,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=16311333,"IDR17,625,986"
20160406,98834253,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=98834253,"IDR17,607,276"
20160202,6485525,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=06485525,"IDR17,429,037"
20160217,1605855,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=01605855,"IDR17,232,087"
20160315,37279396,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=37279396,"IDR16,947,496"
20160326,26667654,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=26667654,"IDR16,839,173"
20160323,9306311,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=09306311,"IDR16,739,714"
20160323,45168556,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=45168556,"IDR16,345,815"
20160207,42699904,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=42699904,"IDR16,247,340"
20160229,9303399,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=09303399,"IDR16,247,340"
20160229,54366184,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=54366184,"IDR16,247,340"
20160301,86584,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=00086584,"IDR15,755,952"
20160304,63073584,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=63073584,"IDR15,755,952"
20160209,77094350,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=77094350,"IDR15,754,967"
20160107,32970675,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=32970675,"IDR15,746,104"
20160113,4644644,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=04644644,"IDR15,715,577"
20160113,59155606,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=59155606,"IDR15,715,577"
20160106,35783960,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=35783960,"IDR15,567,934"
20160123,46099314,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=46099314,"IDR15,508,780"
20160123,40530309,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=40530309,"IDR15,508,780"
20160330,89032380,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=89032380,"IDR15,421,138"
20160331,27313947,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=27313947,"IDR15,421,138"
20160331,40536362,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=40536362,"IDR15,421,138"
20160104,36864842,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=36864842,"IDR15,268,348"
20160104,24481050,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=24481050,"IDR15,262,593"
20160314,76029319,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=76029319,"IDR14,771,205"
20160103,58402379,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=58402379,"IDR14,770,220"
20160328,11403271,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=11403271,"IDR14,734,277"
20160328,46880884,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=46880884,"IDR14,734,277"
20160328,58982567,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=58982567,"IDR14,734,277"
20160328,59109760,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=59109760,"IDR14,734,277"
20160330,16570122,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=16570122,"IDR14,574,255"
20160331,16570122,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=16570122,"IDR14,574,255"
20160323,18921693,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=18921693,"IDR14,573,271"
20160328,3893900,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=03893900,"IDR14,474,796"
20160330,79643519,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=79643519,"IDR14,376,321"
20160108,4695976,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=04695976,"IDR14,327,113"
20160303,66989919,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=66989919,"IDR14,179,372"
20160126,41959675,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=41959675,"IDR13,686,998"
20160217,40586047,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=40586047,"IDR13,686,998"
20160203,69768766,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=69768766,"IDR13,490,049"
20160219,93820642,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=93820642,"IDR13,293,100"
20160328,997438,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=00997438,"IDR13,195,610"
20160328,66732075,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=66732075,"IDR13,195,610"
20160309,44593947,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=44593947,"IDR13,146,372"
20160229,57024389,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=57024389,"IDR13,117,815"
20160327,66570263,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=66570263,"IDR13,028,203"
20160113,42318324,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=42318324,"IDR13,016,878"
20160113,85603635,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=85603635,"IDR13,016,878"
20160113,11823106,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=11823106,"IDR13,016,878"
20160322,9931026,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=09931026,"IDR12,997,675"
20160114,2467681,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=02467681,"IDR12,890,338"
20160114,32801952,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=32801952,"IDR12,890,338"
20160114,39918452,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=39918452,"IDR12,890,338"
20160229,39893769,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=39893769,"IDR12,791,863"
20160311,15889591,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=15889591,"IDR12,791,863"
20160220,29663976,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=29663976,"IDR12,357,590"
20160220,40793967,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=40793967,"IDR12,309,337"
20160327,9027630,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=09027630,"IDR12,308,353"
20160327,34165856,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=34165856,"IDR12,308,353"
20160406,96114513,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=96114513,"IDR12,308,353"
20160327,49553227,www.bhinneka.com/mobile/aspx/finish.aspx?kodetrx=49553227,"IDR12,308,353"
20160311,84446318,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=84446318,"IDR11,901,658"
20160105,57622286,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=57622286,"IDR11,815,979"
20160215,88971074,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=88971074,"IDR11,815,979"
20160406,39293763,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=39293763,"IDR11,815,979"
20160202,76532361,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=76532361,"IDR11,807,116"
20160318,8168433,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=08168433,"IDR11,700,764"
20160323,8168433,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=08168433,"IDR11,700,764"
20160314,19457348,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=19457348,"IDR11,668,267"
20160112,64071797,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=64071797,"IDR11,586,945"
20160123,56237777,www.bhinneka.com/aspx/shoppingcart/finish.aspx?kodetrx=56237777,"IDR11,520,555"
